roll
500006
500017
500040
500047
500101
500119
500152
500225
500248
500252
500256
500305
500316
500478
500538
500544
500553
500571
500590
500615
500626
500658
500741
500791
500810
500850
500871
500875
500884
500885
500906
500915
500988
501015
501048
501050
501067
501069
501077
501393
501474
501490
501493
501740
501775
501787
501833
501838
501839
501871
501979
502154
502174
502264
502312
502334
502337
502495
502583
502625
502681
502691
502719
502736
502797
502842
502862
502869
502925
502927
502980
502981
502995
503039
503060
503087
503149
503172
503175
503200
503211
503243
503283
503288
503296
503304
503316
503321
503326
503329
503369
503725
503776
503818
503824
503844
503919
503928
503992
504038
504072
504078
504081
504099
504104
504251
504282
504337
504390
504398
504450
504506
504553
504578
504608
504618
504662
504752
504754
504755
504767
504809
504842
504878
504944
505073
505107
505113
505125
505199
505224
505227
505256
505340
505348
505355
505369
505423
505577
505645
505662
505712
505743
505904
505915
506089
506140
506154
506175
506188
506221
506283
506292
506346
506414
506631
506678
506729
506804
506809
506813
506822
506876
506895
506913
506940
506968
506982
507051
507052
507054
507149
507167
507188
507190
507197
507261
507472
507551
507632
507649
507659
507672
507700
507717
507824
507844
508003
508039
508040
508055
508073
508080
508194
508195
508210
508216
508269
508331
508400
508407
508430
508468
508484
508487
508488
508538
508584
508614
508632
508691
508736
508768
508871
508905
508908
508909
508935
508967
509038
509064
509087
509113
509151
509168
509179
509193
509208
509220
509226
509237
509243
509296
509328
509341
509363
509378
509383
509447
509473
509523
509590
509649
509696
509719
509722
509726
509915
509960
509978
510004
510006
510041
510080
510139
510147
510188
510196
510201
510222
510254
510314
510337
510355
510393
510402
510431
510495
510498
510563
510642
510652
510676
510755
510769
510805
510814
510818
510865
510911
510913
510924
510996
511005
511061
511079
511080
511128
511139
511152
511155
511184
511214
511234
511249
511256
511276
511305
511319
511336
511340
511341
511343
511346
511347
511363
511367
511370
511389
511390
511418
511431
511475
511483
511488
511608
511775
511805
511808
511817
511827
511835
511842
511846
511879
511912
511922
511972
511974
512020
512059
512093
512155
512193
512204
512227
512318
512391
512407
512422
512442
512482
512628
512676
512810
512814
512840
512844
512853
512906
